,created_by,created_date,deleted_by,deleted_date,is_deleted,modified_by,modified_date,incident_count,incident_date_gmt,incident_date_local,incident_hour_gmt,incident_hour_local,incident_label_count,incident_val_avg,incident_val_max,incident_val_min,incident_val_sum,camera_id,city_id,customer_id,incident_id,location_id,subsite_id,usecase_id,zone_id
32,1,1698913022000,1,1698913022000,0,1,1698913022000,2,2023-10-30,2023-10-30,09,09,2,0.0,0,0,0,5,4.0,2,5,4,4,5,4
33,1,1698913022000,1,1698913022000,0,1,1698913022000,7,2023-10-30,2023-10-30,10,10,7,0.0,0,0,0,5,4.0,2,5,4,4,5,4
34,1,1698913022000,1,1698913022000,0,1,1698913022000,9,2023-10-31,2023-10-31,18,18,9,0.0,0,0,0,5,4.0,2,5,4,4,5,4
35,1,1698913022000,1,1698913022000,0,1,1698913022000,14,2023-11-01,2023-11-01,02,02,14,0.0,0,0,0,5,4.0,2,5,4,4,5,4
36,1,1698913022000,1,1698913022000,0,1,1698913022000,36,2023-11-01,2023-11-01,03,03,36,0.0,0,0,0,5,4.0,2,5,4,4,5,4
37,1,1698913022000,1,1698913022000,0,1,1698913022000,18,2023-11-01,2023-11-01,04,04,18,0.0,0,0,0,5,4.0,2,5,4,4,5,4
38,1,1698913022000,1,1698913022000,0,1,1698913022000,22,2023-11-01,2023-11-01,05,05,22,0.0,0,0,0,5,4.0,2,5,4,4,5,4
39,1,1698913022000,1,1698913022000,0,1,1698913022000,18,2023-11-01,2023-11-01,06,06,18,0.0,0,0,0,5,4.0,2,5,4,4,5,4
40,1,1698913022000,1,1698913022000,0,1,1698913022000,16,2023-11-01,2023-11-01,07,07,16,0.0,0,0,0,5,4.0,2,5,4,4,5,4
41,1,1698913022000,1,1698913022000,0,1,1698913022000,33,2023-11-01,2023-11-01,08,08,33,0.0,0,0,0,5,4.0,2,5,4,4,5,4
42,1,1698913022000,1,1698913022000,0,1,1698913022000,14,2023-11-01,2023-11-01,09,09,14,0.0,0,0,0,5,4.0,2,5,4,4,5,4
43,1,1698913022000,1,1698913022000,0,1,1698913022000,3,2023-11-01,2023-11-01,10,10,3,0.0,0,0,0,5,4.0,2,5,4,4,5,4
44,1,1698913022000,1,1698913022000,0,1,1698913022000,22,2023-11-01,2023-11-01,11,11,22,0.0,0,0,0,5,4.0,2,5,4,4,5,4
